1|1|{'uloga': 'korisnik', 'korisnicko_ime': 't', 'lozinka': 't', 'ime': 'taca', 'prezime': 'cvjetic', 'email': 'sad@asd.s', 'pasos': '123456789', 'drzavljanstvo': 'bh', 'telefon': '77675', 'pol': 'z'}|{'uloga': 'prodavac', 'korisnicko_ime': 'vd', 'lozinka': 'vd', 'ime': 'vladan', 'prezime': 'cvetkovic', 'email': 'vld@asd.s', 'pasos': '111222333', 'drzavljanstvo': 'bh', 'telefon': '77675', 'pol': 'm'}|2023-01-31 00:00:00|nerealizovana_karta|False|[{'t': {'uloga': 'korisnik', 'korisnicko_ime': 't', 'lozinka': 't', 'ime': 'taca', 'prezime': 'cvjetic', 'email': 'sad@asd.s', 'pasos': '123456789', 'drzavljanstvo': 'bh', 'telefon': '77675', 'pol': 'z'}}]|
13|79|{'uloga': 'korisnik', 'korisnicko_ime': 'taca', 'lozinka': 'taca', 'ime': 'Taca', 'prezime': 'Cvjetkovic', 'email': 'taca@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '123456', 'pol': 'z'}||2023-02-05 00:00:00|nerealizovana_karta|False|[{'taca': {'uloga': 'korisnik', 'korisnicko_ime': 'taca', 'lozinka': 'taca', 'ime': 'Taca', 'prezime': 'Cvjetkovic', 'email': 'taca@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '123456', 'pol': 'z'}}]|
14|79|{'uloga': 'korisnik', 'korisnicko_ime': 'user1', 'lozinka': 'user1', 'ime': 'User', 'prezime': 'UserUser', 'email': 'user1@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'srb', 'telefon': '21313', 'pol': 'm'}||2023-02-05 00:00:00|nerealizovana_karta|False|[{'user1': {'uloga': 'korisnik', 'korisnicko_ime': 'user1', 'lozinka': 'user1', 'ime': 'User', 'prezime': 'UserUser', 'email': 'user1@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'srb', 'telefon': '21313', 'pol': 'm'}}]|
15|80|{'uloga': 'korisnik', 'korisnicko_ime': 'user1', 'lozinka': 'user1', 'ime': 'User', 'prezime': 'UserUser', 'email': 'user1@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'srb', 'telefon': '21313', 'pol': 'm'}||2023-02-05 00:00:00|nerealizovana_karta|False|[{'user1': {'uloga': 'korisnik', 'korisnicko_ime': 'user1', 'lozinka': 'user1', 'ime': 'User', 'prezime': 'UserUser', 'email': 'user1@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'srb', 'telefon': '21313', 'pol': 'm'}}]|
16|79|{'uloga': 'korisnik', 'korisnicko_ime': 'user1', 'lozinka': 'user1', 'ime': 'User', 'prezime': 'UserUser', 'email': 'user1@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'srb', 'telefon': '21313', 'pol': 'm'}||2023-02-05 00:00:00|nerealizovana_karta|False|[{'user1': {'uloga': 'korisnik', 'korisnicko_ime': 'user1', 'lozinka': 'user1', 'ime': 'User', 'prezime': 'UserUser', 'email': 'user1@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'srb', 'telefon': '21313', 'pol': 'm'}}]|
17|80|{'uloga': 'korisnik', 'korisnicko_ime': 'user1', 'lozinka': 'user1', 'ime': 'User', 'prezime': 'UserUser', 'email': 'user1@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'srb', 'telefon': '21313', 'pol': 'm'}||2023-02-05 00:00:00|nerealizovana_karta|False|[{'user1': {'uloga': 'korisnik', 'korisnicko_ime': 'user1', 'lozinka': 'user1', 'ime': 'User', 'prezime': 'UserUser', 'email': 'user1@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'srb', 'telefon': '21313', 'pol': 'm'}}]|
18|85|{'uloga': 'korisnik', 'korisnicko_ime': 'lll', 'lozinka': 'lll', 'ime': 'lll', 'prezime': 'lll', 'email': 'll@ll.ll', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '0010101', 'pol': 'z'}||2023-02-05 00:00:00|realizovana_karta|False|[{'lll': {'uloga': 'korisnik', 'korisnicko_ime': 'lll', 'lozinka': 'lll', 'ime': 'lll', 'prezime': 'lll', 'email': 'll@ll.ll', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '0010101', 'pol': 'z'}}]|2,1
19|86|{'uloga': 'korisnik', 'korisnicko_ime': 'lll', 'lozinka': 'lll', 'ime': 'lll', 'prezime': 'lll', 'email': 'll@ll.ll', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '0010101', 'pol': 'z'}||2023-02-05 00:00:00|nerealizovana_karta|False|[{'lll': {'uloga': 'korisnik', 'korisnicko_ime': 'lll', 'lozinka': 'lll', 'ime': 'lll', 'prezime': 'lll', 'email': 'll@ll.ll', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '0010101', 'pol': 'z'}}, {'ime': 'Mirko', 'prezime': 'Mikic', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'pol': 'm'}]|
20|87|{'uloga': 'korisnik', 'korisnicko_ime': 'lll', 'lozinka': 'lll', 'ime': 'lll', 'prezime': 'lll', 'email': 'll@ll.ll', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '0010101', 'pol': 'z'}||2023-02-05 00:00:00|nerealizovana_karta|False|[{'lll': {'uloga': 'korisnik', 'korisnicko_ime': 'lll', 'lozinka': 'lll', 'ime': 'lll', 'prezime': 'lll', 'email': 'll@ll.ll', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '0010101', 'pol': 'z'}}]|
21|55|{'uloga': 'korisnik', 'korisnicko_ime': 'taca', 'lozinka': 'taca', 'ime': 'Taca', 'prezime': 'Cvjetkovic', 'email': 'taca@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '123456', 'pol': 'z'}||2023-02-05 00:00:00|nerealizovana_karta|False|[{'ime': 'Mirko', 'prezime': 'Mikoc', 'pasos': '', 'drzavljanstvo': '', 'pol': ''}]|
22|79|{'uloga': 'korisnik', 'korisnicko_ime': 'taca', 'lozinka': 'taca', 'ime': 'Taca', 'prezime': 'Cvjetkovic', 'email': 'taca@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '123456', 'pol': 'z'}||2023-02-05 00:00:00|nerealizovana_karta|False|[{'ime': 'Mirko', 'prezime': 'Mikic', 'pasos': '', 'drzavljanstvo': '', 'pol': ''}]|
23|86|{'uloga': 'korisnik', 'korisnicko_ime': 'taca', 'lozinka': 'taca', 'ime': 'Taca', 'prezime': 'Cvjetkovic', 'email': 'taca@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '123456', 'pol': 'z'}||2023-02-05 00:00:00|realizovana_karta|False|[{'uloga': 'korisnik', 'korisnicko_ime': 'taca', 'lozinka': 'taca', 'ime': 'Taca', 'prezime': 'Cvjetkovic', 'email': 'taca@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '123456', 'pol': 'z'}, {'ime': 'Luka', 'prezime': 'Lulic', 'pasos': '321321321', 'drzavljanstvo': 'bh', 'pol': 'm'}]|2,1
24|87|{'uloga': 'korisnik', 'korisnicko_ime': 'taca', 'lozinka': 'taca', 'ime': 'Taca', 'prezime': 'Cvjetkovic', 'email': 'taca@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '123456', 'pol': 'z'}||2023-02-05 00:00:00|realizovana_karta|False|[{'taca': {'uloga': 'korisnik', 'korisnicko_ime': 'taca', 'lozinka': 'taca', 'ime': 'Taca', 'prezime': 'Cvjetkovic', 'email': 'taca@gmail.com', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '123456', 'pol': 'z'}}]|1,1
25|85|{'uloga': 'korisnik', 'korisnicko_ime': 'lll', 'lozinka': 'lll', 'ime': 'lll', 'prezime': 'lll', 'email': 'll@ll.ll', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '0010101', 'pol': 'z'}|{'uloga': 'prodavac', 'korisnicko_ime': 'vd', 'lozinka': 'vd', 'ime': 'vladan', 'prezime': 'cvetkovic', 'email': 'vld@asd.s', 'pasos': '111222333', 'drzavljanstvo': 'bh', 'telefon': '77675', 'pol': 'm'}|2023-02-05 00:00:00|nerealizovana_karta|False|[{'lll': {'uloga': 'korisnik', 'korisnicko_ime': 'lll', 'lozinka': 'lll', 'ime': 'lll', 'prezime': 'lll', 'email': 'll@ll.ll', 'pasos': '123123123', 'drzavljanstvo': 'bh', 'telefon': '0010101', 'pol': 'z'}}]|
26|4|{'uloga': 'korisnik', 'korisnicko_ime': 't', 'lozinka': 't', 'ime': 'taca', 'prezime': 'cvjetic', 'email': 'sad@asd.s', 'pasos': '123456789', 'drzavljanstvo': 'bh', 'telefon': '77675', 'pol': 'z'}|{'uloga': 'prodavac', 'korisnicko_ime': 'vd', 'lozinka': 'vd', 'ime': 'vladan', 'prezime': 'cvetkovic', 'email': 'vld@asd.s', 'pasos': '111222333', 'drzavljanstvo': 'bh', 'telefon': '77675', 'pol': 'm'}|2023-02-05 00:00:00|nerealizovana_karta|False|[{'t': {'uloga': 'korisnik', 'korisnicko_ime': 't', 'lozinka': 't', 'ime': 'taca', 'prezime': 'cvjetic', 'email': 'sad@asd.s', 'pasos': '123456789', 'drzavljanstvo': 'bh', 'telefon': '77675', 'pol': 'z'}}, {'ime': 'Tikvica', 'prezime': 'Tikvic', 'pasos': '', 'drzavljanstvo': '', 'pol': ''}]|
27|85|{'ime': 'Milkica', 'prezime': 'Kovac', 'telefon': '21', 'email': 'milka@gmali.com', 'uloga': 'korisnik', 'pasos': '123412341', 'drzavljanstvo': 'bh', 'pol': 'm'}|{'uloga': 'prodavac', 'korisnicko_ime': 'vd', 'lozinka': 'vd', 'ime': 'vladan', 'prezime': 'cvetkovic', 'email': 'vld@asd.s', 'pasos': '111222333', 'drzavljanstvo': 'bh', 'telefon': '77675', 'pol': 'm'}|2023-02-05 00:00:00|realizovana_karta|False|[{'ime': 'Milkica', 'prezime': 'Kovac', 'telefon': '21', 'email': 'milka@gmali.com', 'uloga': 'korisnik', 'pasos': '123412341', 'drzavljanstvo': 'bh', 'pol': 'm'}]|1,1
28|87|{'uloga': 'korisnik', 'korisnicko_ime': 'tamara22', 'lozinka': 'sas', 'ime': 'dsagfasfa', 'prezime': 'saaw', 'email': 'sad@asd.s', 'pasos': '123456789', 'drzavljanstvo': 'bih', 'telefon': '212', 'pol': 's'}|{'uloga': 'prodavac', 'korisnicko_ime': 'vd', 'lozinka': 'vd', 'ime': 'vladan', 'prezime': 'cvetkovic', 'email': 'vld@asd.s', 'pasos': '111222333', 'drzavljanstvo': 'bh', 'telefon': '77675', 'pol': 'm'}|2023-02-10 00:00:00|nerealizovana_karta|False|[{'tamara22': {'uloga': 'korisnik', 'korisnicko_ime': 'tamara22', 'lozinka': 'sas', 'ime': 'dsagfasfa', 'prezime': 'saaw', 'email': 'sad@asd.s', 'pasos': '123456789', 'drzavljanstvo': 'bih', 'telefon': '212', 'pol': 's'}}]|
